48 hosts, 0 routers, 0 mobiles, 0 accesspoints
Simulation time                     : 58591566
Events raised                       : 524068
Messages generated                  : 8883
Messages delivered                  : 7433
Message bandwidth                   : 10404
Average delivery time               : 3931834
Frames transmitted                  : 187524
Frames received                     : 187483
Efficiency (bytes AL) / (bytes PL)  : 10.59
Transmission cost                   : 351626
EV_REBOOT                           : 48
EV_PHYSICALREADY                    : 187483
EV_APPLICATIONREADY                 : 8883
EV_TIMER1                           : 327654

END-TO-END PERFORMANCE
To node SB
- from HOM :        1 msgs,    10222 ms latency,      0.0 kB/s throughput
- from SLS :        1 msgs,    24324 ms latency,      0.1 kB/s throughput
- from VK  :        1 msgs,    42361 ms latency,      0.1 kB/s throughput
- from SUL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from FOR :        1 msgs,    29274 ms latency,      0.2 kB/s throughput
- from SGM :        1 msgs,    13931 ms latency,      0.1 kB/s throughput
- from NK  :        5 msgs,     9972 ms latency,      0.4 kB/s throughput
- from BLK :        3 msgs,    15600 ms latency,      0.2 kB/s throughput
- from ZWB :        1 msgs,    10945 ms latency,      0.1 kB/s throughput
- from WLM :        1 msgs,    26586 ms latency,      0.1 kB/s throughput
- from WND :        1 msgs,    15485 ms latency,      0.1 kB/s throughput
- from SPE :        2 msgs,    11317 ms latency,      0.1 kB/s throughput
- from MRP :        1 msgs,    32072 ms latency,      0.1 kB/s throughput
- from OTW :        1 msgs,    26429 ms latency,      0.1 kB/s throughput
- from NMB :        1 msgs,    34381 ms latency,      0.1 kB/s throughput
- from DIL :        1 msgs,    38005 ms latency,      0.1 kB/s throughput
- from SWB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WLF :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MZG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NLB :        1 msgs,    54108 ms latency,      0.0 kB/s throughput
- from BEK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MTL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from LSH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PTL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WDG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from UBH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from HEW :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from LEB :        1 msgs,    23804 ms latency,      0.0 kB/s throughput
- from EPB :        1 msgs,    23512 ms latency,      0.0 kB/s throughput
- from SCH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from LED :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SSB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from IHN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from RLG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from THY :        1 msgs,    43062 ms latency,      0.1 kB/s throughput
- from ORZ :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from BRG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SAB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRT :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WDN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NNW :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NUN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NOH :        1 msgs,    54938 ms latency,      0.1 kB/s throughput
- from FRS :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from GRH :        1 msgs,     8501 ms latency,      0.0 kB/s throughput
To node VK
- from SB  :        1 msgs,     9889 ms latency,      0.1 kB/s throughput
- from HOM :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SLS :        1 msgs,     3749 ms latency,      0.0 kB/s throughput
- from IGB :        1 msgs,     9929 ms latency,      0.1 kB/s throughput
- from SUL :        1 msgs,    41241 ms latency,      0.2 kB/s throughput
- from FOR :        1 msgs,    23469 ms latency,      0.1 kB/s throughput
- from SGM :        1 msgs,    29087 ms latency,      0.1 kB/s throughput
- from NK  :        1 msgs,    45511 ms latency,      0.1 kB/s throughput
- from BLK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from ZWB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WLM :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WND :        1 msgs,    31017 ms latency,      0.0 kB/s throughput
- from SPE :        1 msgs,    42123 ms latency,      0.1 kB/s throughput
- from MRP :        1 msgs,    24153 ms latency,      0.1 kB/s throughput
- from OTW :        1 msgs,    41460 ms latency,      0.1 kB/s throughput
- from NMB :        1 msgs,    46141 ms latency,      0.1 kB/s throughput
- from DIL :        1 msgs,    17477 ms latency,      0.1 kB/s throughput
- from SWB :        2 msgs,    17901 ms latency,      0.2 kB/s throughput
- from WLF :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MZG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NLB :        1 msgs,     5104 ms latency,      0.0 kB/s throughput
- from BEK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MTL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from LSH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PTL :      551 msgs,       42 ms latency,     47.1 kB/s throughput
- from WDG :        1 msgs,    34546 ms latency,      0.1 kB/s throughput
- from UBH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from HEW :      284 msgs,       70 ms latency,     23.9 kB/s throughput
- from LEB :        5 msgs,    11102 ms latency,      0.5 kB/s throughput
- from EPB :        1 msgs,    17734 ms latency,      0.1 kB/s throughput
- from SCH :        2 msgs,    13306 ms latency,      0.3 kB/s throughput
- from LED :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SSB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from IHN :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from RLG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from THY :        1 msgs,    21257 ms latency,      0.0 kB/s throughput
- from ORZ :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from BRG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SAB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRL :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PRT :        1 msgs,    34960 ms latency,      0.1 kB/s throughput
- from WDN :        1 msgs,    43184 ms latency,      0.1 kB/s throughput
- from NNW :        1 msgs,    36181 ms latency,      0.1 kB/s throughput
- from NUN :        1 msgs,    37483 ms latency,      0.1 kB/s throughput
- from NOH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from FRS :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from GRH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
To node SUL
- from SB  :        1 msgs,    10011 ms latency,      0.2 kB/s throughput
- from HOM :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from SLS :        1 msgs,    31348 ms latency,      0.1 kB/s throughput
- from IGB :        1 msgs,     9446 ms latency,      0.2 kB/s throughput
- from VK  :        1 msgs,    10700 ms latency,      0.2 kB/s throughput
- from FOR :        1 msgs,    29565 ms latency,      0.1 kB/s throughput
- from SGM :        1 msgs,    12108 ms latency,      0.0 kB/s throughput
- from NK  :        1 msgs,     1020 ms latency,      0.0 kB/s throughput
- from BLK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from ZWB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WLM :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WND :        1 msgs,     2419 ms latency,      0.1 kB/s throughput
- from SPE :        3 msgs,     1359 ms latency,      0.3 kB/s throughput
- from MRP :        1 msgs,     9194 ms latency,      0.0 kB/s throughput
- from OTW :        2 msgs,      682 ms latency,      0.2 kB/s throughput
- from NMB :        1 msgs,    26625 ms latency,      0.1 kB/s throughput
- from DIL :        1 msgs,    35813 ms latency,      0.1 kB/s throughput
- from SWB :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from WLF :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MZG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from NLB :        1 msgs,    21386 ms latency,      0.1 kB/s throughput
- from BEK :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from MTL :        1 msgs,    41426 ms latency,      0.1 kB/s throughput
- from LSH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from PTL :        1 msgs,    23656 ms latency,      0.0 kB/s throughput
- from WDG :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from UBH :        0 msgs,        0 ms latency,      0.0 kB/s throughput
- from HEW :        1 msgs,     5147 ms latency,      0.1 kB/s throughput
